album,image,lyrics,title,year,peak
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"Being ""empowered""...... is not the same as being a ""bitch""...
HAVING SOMETHING TO SAY...... is not the same as HAVING A BAD ATTITUDE....

what I meant when I said what I said about not being Sean's ex is that I am tired of living in a world where women are mostly referred to as a man's past, present or future PROPERTY / POSSESSION. I... do not. belong. to anyone. but myself. and neither do you.
I have clearly not been having the boy questions in my interviews lately because I have come to the realization that I have SO. MUCH. MORE. to talk about. I'm currently making the best music I've ever made in my life, having the best time of my life on tour with some of the greatest people I've ever known, working my ass off every single day, performing / creating for my babes and getting the chance to meet and hug my babes all over the world every day.

I come from a long bloodline of female activists. my aunt Judy was the first Italian american female president of the national press club in Washington DC. I think she would have been proud of me for speaking up about something that has been bothering me personally for so long.
Gloria Steinem published an article in 1969 titled ""After Black Power, Women's Liberation"".... and 46 years later... we're still not quite there yet!
If a women has a lot of sex (or any sex for that matter).... she's a ""slut"".
If a man has sex..... HE'S. A. STUD. a BOSSSSSS. a KING.
If a woman even TALKS about sex openly.... she is shamed!
But if a man talks or RAPS freely about all the women (or more commonly used ""bitches""/""hoes""... how lovely) he's had... he is regaled.
If a woman is seen with a friend with a penis, there is an immediate assumption of romance or sex and she is labeled!!
If a man is seen with a woman... his status is elevated / celebrated. ""AWW SHIIIT HE SMASHED!!!1!!1!"".

I know y'all already know this but the double standard and misogyny are still ever present.
I can't wait to live in a world where people are not valued by who they're dating / married to / attached to, having sex with (or not) / seen with.... but by their value as an individual.

I want the people reading this to know that they are MORE THAN enough on their own.
I want the media to please help me with this!!!!!!!!! Please support each other.
I'm saying this after literally 8 years of feeling like I constantly had to have a boy by my side. After being on my own now for a few months I am realizing that that's just not the case.... I have never felt more present, grounded, and satisfied. I've never laughed harder or had more fun or enjoyed my life more.

One more thought.... my honeymoon diaries are my way of sharing absolutely as much as I can with my fans. that is something I have done since day one and never plan on changing. it is a safe environment for me to be myself and share funny, special, personal things with my fans and to laugh about silly things I've done / things I'm going through. I don't plan on monitoring or changing that because there are more eyes on me now than there were before. I love y'all with all my heart.... you've accepted and celebrated me not only as an artist but as a person since day one and and nothing will change that or change me.

""any woman who chooses to behave like a full human being should be warned that the armies of the status quo will treat her as something of a dirty joke.. She will need her sisterhood."" - Gloria Steinem",Open Letter Critiquing Sexism,,
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"So the news is out about Sam & Cat. I felt it wasn’t my place to make any sort of announcement so I kept quiet until now. I want to thank Nickelodeon for making a childhood dream of mine come true, for being a family to me, for being so accommodating and supportive of my multitasking with my music career, and for of course introducing me to many of my fans however many years ago. I want to thank Dan Schneider for allowing me to play such a special, beautiful character who I hid behind for so long. What I mean by that is when I was younger, people loved Cat so much I used to pretend to be more like her. It took me a long time to be brave enough to separate myself and show people how different we actually are…. I think that’s honestly because I admire her so much. Her appreciation for life and everybody she encounters. Her passion and genuine excitement for the little things that most people dread like school projects and work. She always saw negative obstacles as opportunities to make things good

I will always hold Cat near and dear to my heart and appreciate her help in my personal growth from teenager to adult. I know she seems like a simple, daft character (and she is) but she played such a huge part in my life I just wanted to express my appreciation for her and share some of the things I love most about her. I think a lot of people could take a page out of her book…… she wouldn’t judge anybody by their appearance…. she believed the best in people…. she wasn’t afraid of anything or anybody…. she never let people’s judgements hold her back from doing what she wanted, acting how she wanted, dressing how she wanted wanted, dying her hair however she wanted… she never held back her enthusiasm or joy for fear of appearing some sort of way or for fear of jinxing the good that is real (which is something I personally do all the time but I wish I could shake that and celebrate every little thing like she does)

One of my favorite things about Cat was that she never lost her sense of wonder. As we grow up we become more and more jaded and fearful of how we come across. We hold back a little more, protect ourselves a little more and although Cat goes through the same ridicule as anybody else does growing up, she never changed or lost her childlike wonder. To me that’s the bravest, most special thing about her. She actually reminds me a lot of Frankie in that way

So I know a lot of people will think this is a lot for some ‘dumb’ kids show character . . . . but to me she is actually a lot smarter, stronger and braver than all the rest of us

Hopefully we’ll find out one day if Cat & Robbie ever got married. If I had any say in the story from here on out I’d make sure they were happily married with sweet, eccentric, Jewish, artificially red headed babies. Cat would constantly find herself reminding Aunt Sam to leave the butter sock and other dangerous weapons out of the house. They’d live down the street from Jade and Beck, also happily married with purple and black haired, pale, grungy, beautiful, goth babies. :)

Thank you to the cast and crew who I spent almost every day with for a good 4 or 5 years. Thanks for lighting us beautifully, shooting us beautifully, making the most incredible props, yelling at us when we were running late to set, keeping us on track and most of all for making it such a positive work environment. The guys behind the scenes couldn’t have been more pleasant or hard working and I appreciate them for that so much. I can’t imagine that there is a more pleasant or professional crew in Hollywood

Thank you from the bottom of my heart to a true friend of mine, Dan Schneider. I will never take these memories or lessons learned for granted

Lastly, thank you to my fans who have been with me since all of this started… you are the most loyal, dedicated and continuously loving supporters I could ever imagine. We’ve been through so much and you are still here… and we’ve got a long way to go. :) Thank you for believing in me, accepting me and loving me. I love you forever",Open Letter to Fans,7/14/2014,
Yours Truly,https://images.genius.com/c2b278cfc788637a98a5b39be1846dc4.1000x1000x1.jpg,"[Intro]
Oh-oh-oh-oh
Oh-oh-oh-oh
Here we go

[Verse 1]
I could write a song with my new piano
I could sing about how love is a losing battle
Not hard (it's not hard)
It's not hard (it's not hard)
It's not hard (it's not hard)
It's not hard (it's not hard)
And I could sing about Cupid and his shooting arrow
In the end, you'd find out that my heart was battered
Real hard (real hard)
It’s so hard (it’s so hard)
Real hard (real hard)
It's not hard (it's not hard)

[Pre-Chorus]
But I'd rather make a song they can play on the radio
That makes you wanna dance
Don’t it make you wanna dance?
But I'd rather make a song they can play on the radio
That makes you wanna grab your lover's hand

[Chorus]
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I wanna see you rock to the piano, the piano

[Verse 2]
I could write a song by my new piano
I could sing about how love is a losing battle
Not hard (it's not hard)
It's not hard (it's not hard)
It's not hard (it's not hard)
It's not hard (it's not hard)
And I could sing about Cupid and his shooting arrow
In the end, you’ll find out that my heart was battered
Real hard (it's not hard)
So hard (so hard)
Real hard (it's not hard)
It's not hard (it's not hard)

[Pre-Chorus]
But I'd rather make a song they can play on the radio
That makes you wanna dance
Don’t it make you wanna dance?
But I'd rather make a song they can play on the radio
That makes you wanna grab your lover's hand

[Chorus]
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I wanna see you rock to the piano, the piano
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I wanna see you rock to the piano, the piano

[Bridge]
I’d rather tell you about how I’m feeling, boy
And how I’m doing things my way
If I got my piano, then I’m gon' be okay

[Chorus]
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I want to see you rock to the piano, the piano
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I want to see you rock to the piano, the piano
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get ‘em up
I want to see you rock to the piano, the piano

[Outro]
I could write a song by my new piano
I could sing about how love is a losing battle
It's not hard (it's not hard)
It's not hard (it's not hard)
It's not hard (it's not hard)
It's not hard",Piano,8/30/2013,
Unreleased ,https://images.genius.com/c692c01638ad8c283167324d7ca4331f.770x770x1.jpg,"[Verse 1]
Every day I'm grinding
I don't even get a weekend
I've been living my life in black and white, no sleeping
So tonight we're gonna flip it
Like in a New York minute
We're gonna hail a cab and don't look back once we get in it

[Pre-Chorus]
Lemme hear you say, ooh, ooh
Can't keep it bottled up
Lemme hear you say, ooh, ooh
Can't keep it bottled up

[Chorus]
Make it pop, like pink champagne in the purple rain
We're gonna paint, paint, paint the city
We're gonna show off all our pretty
Pretty, in a pink champagne
Let 'em know our names
Screaming so loud, they'll hear us in L.A
We're popping, like pink champagne (aye, aye)
Popping, like pink champagne (aye, aye)
Popping, like pink champagne

[Post-Chorus]
Make it pop like, make it pop like
Make it pop like, make it pop like, make it pop like

[Verse 2]
We don't need no guest list, everybody's invited
I'm saying, ""Even if you can't get in, we'll dance outside it""
We're gonna make this bubble
We'll carbonate some trouble
When the line gets flat, gotta take it back to another level

[Pre-Chorus]
Lemme hear you say, ooh, ooh
Can't keep it bottled up
Lemme hear you say, ooh, ooh
Can't keep it bottled up

[Chorus]
Make it pop, like pink champagne in the purple rain
We're gonna paint, paint, paint the city
We're gonna show off all our pretty
Pretty, in a pink champagne
Let 'em know our names
Screaming so loud, they'll hear us in L.A
We're popping, like pink champagne (aye, aye)
Popping, like pink champagne (aye, aye)
Popping, like pink champagne

[Post-Chorus]
Make it pop like, make it pop like
Make it pop like, make it pop like, make it pop like

[Breakdown]
Make it pop like, make it pop like
Champagne...

[Chorus]
Make it pop, like pink champagne in the purple rain
We're gonna paint, paint, paint the city
We're gonna show off all our pretty
Pretty, in a pink champagne
Let 'em know our names
Screaming so loud, they'll hear us in L.A
We're popping, like pink champagne (aye, aye)
Popping, like pink champagne (aye, aye)
We're popping, like pink champagne
Pink champagne in the purple rain
We're gonna paint, paint, paint the city
We're gonna show off all our pretty
Pretty, in a pink champagne
Let 'em know our names
Screaming so loud, they'll hear us in L.A
We're popping, like pink champagne (aye, aye)
Popping, like pink champagne (aye, aye)
We're popping, like pink champagne",Pink Champagne,10/1/2013,
,https://images.genius.com/709cbc2ee4e5cd8a27ef4eb84663a6a7.400x400x1.jpg,"""broken.
from the bottom of my heart, i am so so sorry. i don't have words.""

""we won't let hate win"" and ""we won't let this divide us.""

""Our response to this violence must be to come closer together, to help each other, to love more, to sing louder and to live more kindly and generously than we did before,""

""I'll be returning to the incredibly brave city of Manchester to spend time with my fans and to have a benefit concert in honour of and to raise money for the victims and their families.

""They will be on my mind and in my heart everyday and I will think of them with everything I do for the rest of my life.""",Pray For Manchester,,
My Everything,https://images.rapgenius.com/48203bfc780de197230215c66e63be5d.1000x1000x1.png,"[Produced by Max Martin, Shellback, and Ilya]

[Intro: Iggy Azalea & (Ariana Grande)]
Uh-huh! It's Iggy Iggs!
I got one more problem with you girl, hey!
(One less, one less problem)

[Verse 1: Ariana Grande]
Hey baby, even though I hate ya, I wanna love ya
(I want you)
And even though I can't forgive ya, I really want to
(I want you)
Tell me, tell me, baby, why can't you leave me?
'Cause even though I shouldn't want it, I gotta have it
(I want you)

[Pre-Chorus: Ariana Grande]
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got

[Chorus: Big Sean & Ariana Grande]
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

[Verse 2: Ariana Grande]
I know you're never gonna wake up, I gotta give up
(But it's you)
I know I shouldn't ever call back or let you come back
(But it's you)
Every time you touch me and say you love me
I get a little bit breathless, I shouldn't want it
(But it's you)

[Pre-Chorus: Ariana Grande]
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got

[Chorus: Big Sean & Ariana Grande]
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem
One less problem without ya
I got one less problem without ya (Ooh, babe)
I got one less problem without ya (Ooh, woah)
I got one less, one less problem

[Verse 3: Iggy Azalea]
It's Iggy Iggs!
Uh, what you got?
Smart money bettin' I'll be better off without you
In no time I'll be forgettin' all about you
You sayin' that you know, but I really, really doubt you
Understand my life is easy when I ain't around you
Iggy Iggy, too biggie to be here stressin'
I'm thinkin' I love the thought of you more than I love your presence
And the best thing now is probably for you to exit
I let you go, let you back, I finally learned my lesson
No half-steppin', either you want it or you just playin'
I'm listenin' to you knowin' I can't believe what you sayin'
There's a million you's baby boo, so don't be dumb
I got 99 problems but you won't be one, like what

[Bridge: Ariana Grande]
One less, one less problem
One less, one less problem

[Pre-Chorus: Ariana Grande]
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got

[Chorus: Big Sean, Ariana Grande & Iggy Azalea]
One less problem without ya (Hey)
I got one less problem without ya (No, babe)
I got one less problem without ya (Ooh)
I got one less, one less problem (Ooh, baby)
One less problem without ya (Yeah, I got)
I got one less problem without ya (Woo, hey!)
I got one less problem without ya
I got one less, one less problem, problem, baby
One less problem without ya (Hey)
I got one less problem without ya (Without you)
I got one less problem without ya (I got one less, one less, yeah)
I got one less, one less problem",Problem,4/28/2014,2
,https://images.rapgenius.com/c6e0580d266785bcf25186093fe6d3ae.1000x1000x1.jpg,"[Intro]
Let me see you put your hearts up, yeah
Let me see you put your hearts up, yeah
If we give a little bit of love maybe we can change the world

[Verse 1]
You think you're so small like you're itty-bitty
Just one match in the lights of the city
Walking up to strangers on the side of the street, like
A quarter in a cup will get the up on their feet, like
You think you're never gonna make your mark
Sit back and watch the world while it falls apart, like
Out of sight, out of mind, like
Like it's just a waste of time, like, like, like

[Chorus]
Hey yeah yeah yeah yeah
Hey yeah yeah
If we give a little love maybe we can change the world
I said
Hey yeah yeah yeah yeah
Hey yeah yeah
Sing it if you're with me
All you boys and all you girls
Let me see you put your hearts up, yeah
Let me see you put your hearts up, yeah
If we give a little love maybe we can change the world

[Verse 2]
Wishing on a shooting star in the sky
We can do anything if we try
Can't resurrect Ghandi, resurrect King
But if put our heads together we can do anything
Like, you don't have to be a billionaire
You don't have to have much to show to show much care
Like give a wink, give a kiss
Like give a little happiness, like, like, like

[Chorus]
Hey yeah yeah yeah yeah
Hey yeah yeah
If we give a little love maybe we can change the world
I said
Hey yeah yeah yeah yeah
Hey yeah yeah
Sing it if you're with me
All you boys and all you girls
Let me see you put your hearts up, yeah
Let me see you put your hearts up, yeah
If we give a little love maybe we can change the world

[Bridge]
Don't let it bring you down now, down now
Don't let it bring you down now, down now
Ain't got nothing but love now, love now
Ain't got nothing but love now, love now
Don't let it bring you down now, down now
Don't let it bring you down, down now
Ain't got nothing but love now, love now
Ain't got nothing but love now, love now

[Chorus]
Hey yeah yeah yeah yeah
Hey yeah yeah
If we give a little love maybe we can change the world
I said
Hey yeah yeah yeah yeah
Hey yeah yeah
Sing it if you're with me
All you boys and all you girls
Let me see you put your hearts up, yeah
Let me see you put your hearts up, yeah
If we give a little love maybe we can change the world

[Outro]
Let me see you put your hearts up, yeah
Let me see you put your hearts up, yeah
If we give a little bit of love maybe we can change the world",Put Your Hearts Up,12/12/2011,
Unreleased ,https://images.genius.com/74743bb4a6d0f3fe998ad5a673b918b8.850x850x1.jpg,"[Intro]
Blaq Tuxedo
La la, la-la, la-la, la
La-la, la-dee-da

[Verse 1]
This love that I’m feeling
Is not like another feeling, I know
I can’t explain it, oh
This love that you give me
Is making me feel things I don't know, know, know
Boy, you make me feel so good
It's so special, special to me
So good
You're the element I needed, hey
No silver or gold can make me let you go
You take my breath away
It's like you cast a spell on me
(Ridiculous love)

[Chorus]
This is ridiculous
This is ridiculous
This is ridiculous
This is ridiculous

[Verse 2]
If I go a day without you
I know you're thinking of me
Wondering what I'm doing
Wondering what I'm thinking
I want you all to myself
Don't want nobody else
Boy, you know you're my baby, baby
All I see is you, standing right there
Looking so sexy, baby, hey
Now you got me feeling, feeling, feeling
Like loving on you, and touching you
I'ma seduce you, baby, baby
It's like you cast a spell on me
(Ridiculous love)

[Chorus]
This is ridiculous
This is ridiculous
This is ridiculous
This is ridiculous

[Bridge]
I love you, you love me
We should be together
Ridiculous
Boy, boy, boy
Boy, don't you know you're a star
Hope you don't wreck my heart

[Outro]
This is ridiculous
This is ri-, this is ri-
This, this
This is ridiculous
This is ri-, this is ri-
Thi-thi-thi-thi, this is ri-
Di-di, di-di
Di-di, di-di
This is ri-
Di-di, di-di
This is ridiculous",Ridiculous,10/22/2017,
Yours Truly,https://images.rapgenius.com/f122ced8414c8cd4507bccae386804e4.1000x1000x1.jpg,"[Intro]
If you wanna party, if you, if you wanna party
Then put your hands up, put your hands up
If you, if you wanna party, if you, if you wanna party
Then put your hands up, put your hands up

[Refrain: Ariana Grande]
You got it, you got it, babe
You got it, you got it, babe
You got it, you got it, babe
You got it, you got it, babe

[Verse 1: Big Sean]
Okay, this, this, this for my number one girl who got the top spot title
Spent a hour in the bathroom, walked out looking like a model
God, doing what you do, got me right there with Apollo on the moon
Who needs genies in a bottle, girl, if they already got you?

[Ariana Grande]
Boy, you make me feel so lucky
Finally the stars align
Never has it been so easy to be in love
And to give you this heart of mine

[Pre-Chorus 1: Ariana Grande]
You know what I need
I know what you like
Put it all together, baby, we could be alright
How could this be wrong when it feels so right?
Yeah, I really love you
I really love you, oh
And I’ll never let you go

[Chorus: Ariana Grande]
You should know I’m never gonna change
I’m always gonna stay
You call for me, I’m right there (right there)
Right there (right there)
'Cause you listen and you care
You’re so different
No one compares
And if you never change, I’m gonna stay right there
I’ll always be right there

[Refrain: Ariana Grande]
You got it, you got it, babe
You got it, you got it, baby

[Verse 2: Ariana Grande]
And I get butterflies, just thinking
About you boy, you’re on my mind
Sometimes I catch myself daydreaming
Lost in your eyes and I lose all track of time

[Pre-Chorus 2: Ariana Grande]
You know what I need
I know what you like
Put it all together, baby, we could be alright
How can this be wrong when it feels so right?
Yeah, I really need you
I really love you, oh
And I’ll never let you go

[Chorus: Ariana Grande]
You should know I’m never gonna change
I’m always gonna stay
You call for me, I’m right there (right there)
Right there (right there)
'Cause you listen and you care
You’re so different
No one compares
And if you never change, I’m gonna stay right there
I’ll always be right there

[Refrain: Ariana Grande]
You got it, you got it, babe
You got it, you got it, baby

[Verse 3: Big Sean + Ariana Grande]
Now, if all fell through, would you catch me before the pavement?
If my Benz turned back to Public Transportation, would you still be at home for me with the candles waiting
And get my mind back adjacent to the place of a young visionary?
A player too, you know I have some girls missionary
My black book and numbers thicker than the dictionary and Bible
I got it recycled
I love and I like you
Five course meals, even though you don’t mind a drive-thru
That’s why I got you
And I’ll never let you go

[Chorus: Ariana Grande]
You should know I’m never gonna change
I’m always gonna stay
You call for me, I’m right there (right there)
Right there (right there)
'Cause you listen and you care
You’re so different
No one compares
And if you never change, I’m gonna stay right there
I’ll always be right there

[Outro: Ariana Grande]
I’ll always be right there
I’ll always be right there
You got it, you got it baby
You got it, you got it baby
You got it, you got it baby
You got it, you got it baby, you got it babe",Right There,8/6/2013,84
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"Get so high
Go so fast
It's getting good

I wanna make it last
Spinning round
Soaring Free
Steady now your gonna make me scream and shout
Tryin land it's rushing down
But light and sound is spinning round
Tryin land it's pouring out
You make me want to scream and shout
You got me going around in circles
Like a rollercoaster
You got me going around in circles
Like a rollercoaster
You got me going around in circles
Like a rollercoaster
You got me going around in circles
Like a rollercoaster
You make
You make
You make me go round
You make me
You make
Go round",Rollercoaster,,
,https://images.genius.com/1b34aadef5bc71110945c9cd49c8c46d.1000x1000x1.jpg,"[Verse 1]
There's a fire starting in my heart
Reaching a fever pitch, and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out, and I'll lay your **** bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do (huh)
There's a fire starting in my heart
Reaching a fever pitch, and it's bringing me out the dark

[Pre-Chorus]
The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

[Chorus]
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

[Verse 2]
Baby, I have no story to be told (huh)
But I've heard one on you
Now I'm gonna make your head burn (yeah)
Think of me in the depths of your despair
Make a home down there
As mine sure won't be shared (ah)

[Pre-Chorus]
(You're gonna wish you never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me thinking that we almost had it all
(You're gonna wish you never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling (feeling...)

[Chorus]
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it with a beating

[Bridge]
Throw your soul through every open door
Count your blessings to find what you look for
Turn my sorrow into treasured gold
You'll pay me back in kind and reap just what you sow

[Breakdown]
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all

[Chorus]
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it, you played it, you played it, you played it to the beat",Rolling in the Deep,5/6/2011,
Christmas Kisses - EP,https://images.rapgenius.com/055e0a284d2eafb4547f97299f56fc76.1000x1000x1.png,"[Verse 1: Ariana Grande]
Santa baby, slip a Sable under the tree for me
I've been an awful good girl
Santa baby, so hurry down the chimney tonight

[Verse 2: Liz Gillies]
Santa baby, a '54 convertible too, light blue
I'll wait up for you dear
Santa baby, and hurry down the chimney tonight

[Chorus: Ariana Grande + Liz Gillies]
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good
If you check off my Christmas list

[Verse 3: Liz Gillies]
Santa baby, I want a yacht and really that's not a lie
I've been an angel all year
Santa baby, and hurry down the chimney tonight

[Verse 4: Liz Gillies]
Santa honey, the one little thing I really need
The deed to a platinum mine
Santa honey, so hurry down the chimney tonight

[Chorus: Liz Gillies + Ariana Grande]
Come and trim my Christmas tree
With some decorations bought at Tiffany's
I really do believe in you
Let's see if you believe in me

[Bridge: Ariana Grande + Liz Gillies]
Santa baby, forgot to mention one little thing, a ring
But I don't mean on the phone
Santa baby, and hurry down the chimney tonight
Hurry tonight, hurry down the chimney tonight

[Outro: Ariana Grande + Liz Gillies]
Waiting
Hurry, tonight
Hurry down the chimney tonight",Santa Baby,12/13/2013,
Christmas Kisses - EP,https://images.rapgenius.com/a9263ea01fc4fa86beabd86d66d59d19.1000x1000x1.jpg,"[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 1]
Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get it in the mood
I'm avoiding every mistletoe until I know it's...

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone, boy

[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Verse 2]
I've been down this road before
Fell in love on Christmas night
But on New Year's Day, I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's...

[Pre-Chorus]
True love that he thinks of
So next Christmas I'm not all alone, boy

[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Bridge]
Oh, I wanna have him beside me, like oh-woo-oh
On the 25th, by that fireplace, oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh, baby
(Santa, tell me, Santa, tell me)
If ya won't be, if ya won't be here
(Santa, tell me, Santa, tell me)
Ohh-hoo-wooo-wooho

[Chorus]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

[Outro]
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year",Santa Tell Me,11/24/2014,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",See You Dance,,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"Ladies in the buildin'
Probably makin' more than you
He make that money but I bet
She got her own
[...]
You know, you know, you know, you know
She got her own",She Got Her Own,,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",Shut It Down,,
Dangerous Woman,https://images.genius.com/9ee8ae97d146d73671120d6d3304d23d.350x350x1.jpg,"[Intro: Ariana Grande & Nicki Minaj]
I've been here all night (Ariana)
I've been here all day (Nicki Minaj)
And boy, got me walkin' side to side (let them hoes know)

[Verse 1: Ariana Grande]
I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('bout nothin')

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night
I've been here all day
And boy, got me walkin' side to side
I've been here all night
I've been here all day
And boy, got me walkin' side to side (side to side)

[Verse 2: Ariana Grande]
Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (you got me)
And boy I got ya
Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night
I've been here all day
And boy, got me walkin' side to side (side to side)
I've been here all night (been here all night, baby)
I've been here all day (been here all day, baby)
And boy, got me walkin' side to side (side to side)

[Refrain: Nicki Minaj]
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through yo, get you this type of blow
If you wanna Minaj, I got a tricycle

[Verse 3: Nicki Minaj]
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop and I make my gum pop
I'm the queen of rap, young Ariana run pop

[Pre-Chorus: Ariana Grande]
These friends keep talkin' way too much
Say I should give him up
Can't hear them, no, 'cause I…

[Chorus: Ariana Grande]
I've been here all night (been here all night, baby)
I've been here all day (been here all night, baby)
And boy, got me walkin' side to side (side to side)
I've been here all night (been here all night, baby)
I've been here all day (been here all day, baby)
And boy, got me walkin' side to side (side to side)

[Refrain: Nicki Minaj]
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through yo, get you this type of blow
If you wanna Minaj, I got a tricycle",Side to Side,5/20/2016,4
